# Generated from FirepadCN/pocket_dict_5000 (MIT), derived from ECDICT (MIT).
# word<TAB>concise Simplified Chinese meaning
a	第一个字母A
annoyed	恼怒的
annoying	恼人的
annoys	使恼怒
annual	年刊
annually	一年一次
annuals	年刊
another	另外的
answer	答案
answered	答案
answering	答案
answers	答案
ant	蚂蚁
antarctic	南极的
antarctica	南极洲
anted	蚂蚁
anticipate	预期
anticipated	预期
anticipates	预期
anticipating	预期
anting	蚂蚁
antique	古董
antiqued	古董
antiques	古董
antiquing	古董
ants	蚂蚁
anxieties	焦虑
anxiety	焦虑
anxious	忧虑的
anxiously	忧虑地
any	任何的
anybody	任何人
anyhow	无论如何
anymore	再也不
anyone	任何人
anything	任何事
anyway	无论如何
anyways	无论如何
anywhere	无论何处
apart	成零碎
apartment	房间
apartments	房间
apologies	道歉
apologize	道歉
apologized	道歉
apologizes	道歉
apologizing	道歉
apology	道歉
apparent	清晰可见的
apparently	表面上
appeal	恳求
appealed	恳求
appealing	恳求
appeals	恳求
appear	出现
appearance	出现
appearances	出现
appeared	出现
appearing	出现
appears	出现
appendices	附录
appendix	附录
appendixes	附录
appetite	食欲
appetites	食欲
applaud	拍手喝彩
applauded	拍手喝彩
applauding	拍手喝彩
applauds	拍手喝彩
apple	苹果
apples	苹果
applicant	申请者
applicants	申请者
application	应用
applications	应用
applied	涂
applies	涂
apply	涂
applying	涂
appoint	任命
appointed	任命
appointing	任命
appointment	约会
appointments	约会
appoints	任命
appreciate	赏识
appreciated	赏识
appreciates	赏识
appreciating	赏识
appreciation	感激
appreciations	感激
approach	接近
approached	接近
approaches	接近
approaching	接近
appropriate	适当的
appropriated	适当的
appropriates	适当的
appropriating	适当的
approval	赞成
approvals	赞成
approve	赞同
approved	赞同
approves	赞同
approving	赞成的
approximate	大约的
approximated	大约的
approximately	大约
approximates	大约的
approximating	大约的
april	四月
apron	围裙
aprons	围裙
arab	阿拉伯人
arabic	阿拉伯语
arabs	阿拉伯人
arbitrary	任意的
arch	拱门
arched	拱门
arches	拱门
arching	拱门
architect	建筑师
architects	建筑师
architecture	建筑学
architectures	建筑学
arctic	北极的
arctics	北极的
are	be的现在时复数或第二人称单数
area	区域
areas	区域
ares	be的现在时复数或第二人称单数
argue	提出理由
argued	提出理由
argues	提出理由
arguing	提出理由
argument	争论
arguments	争论
arise	站立
arisen	站立
arises	站立
arising	站立
arithmetic	算术
arithmetics	算术
arm	手臂
armchair	扶手椅
armchairs	扶手椅
armed	有扶手的
armies	军队
arming	手臂
arms	武器
army	军队
arose	站立
around	包围
arrange	安排
arranged	安排
arrangement	排列
arrangements	排列
arranges	安排
arranging	安排
arrest	逮捕
arrested	逮捕
arresting	逮捕
arrests	逮捕
arrival	到达
arrivals	到达
arrive	到达
arrived	到达
arrives	到达
arriving	到达
arrow	箭
arrowed	箭
arrowing	箭
arrows	箭
art	艺术
article	文章
articled	文章
articles	文章
articling	文章
artificial	人造的
artificially	人工地
artificials	人造的
artist	艺术家
artistic	艺术的
artists	艺术家
arts	艺术
as	同样地
ash	灰
ashamed	惭愧的
ashes	灰
asia	亚洲
asian	亚洲人
asians	亚洲人
aside	小声说的话
asides	小声说的话
ask	问
asked	问
asking	问
asks	问
asleep	睡着的
aspect	外观
aspects	外观
assemblies	与会者
assembly	与会者
assess	估定
assessed	估定
assesses	估定
assessing	估定
assessment	评估
assessments	评估
asset	资产
assets	资产
assign	分配
assigned	分配
assigning	分配
assigns	分配
assist	帮助
assistance	协助
assistant	助手
assistants	助手
assisted	帮助
assisting	帮助
assists	帮助
associate	同伴
associated	同伴
associates	同伴
associating	同伴
association	协会
associations	协会
assume	假定
assumed	假定
assumes	假定
assuming	假定
assumption	假定
assumptions	假定
assure	保证
assured	保证
assures	保证
assuring	保证
astonish	使惊讶
astonished	使惊讶
astonishes	使惊讶
astonishing	使惊讶
astronaut	太空旅行者
astronauts	太空旅行者
astronomer	天文学家
astronomers	天文学家
astronomy	天文学
at	在
ate	吃
athlete	运动员
athletes	运动员
athletic	运动的
athletics	体育运动
atlantic	大西洋
atmosphere	大气
atmospheres	大气
atom	原子
atoms	原子
attach	附上
attached	附加的
attaches	附上
attaching	附上
attack	攻击
attacked	攻击
attacking	攻击
attacks	攻击
attain	达到
attained	达到
attaining	达到
attains	达到
attempt	尝试
attempted	企图的
attempting	尝试
attempts	尝试
attend	参加
attended	参加
attending	参加
attends	参加
attention	注意
attentions	注意
attentively	注意地
attitude	态度
attitudes	态度
attorney	代理人
attorneys	代理人
attract	吸引
attracted	吸引
attracting	吸引
attraction	吸引
attractions	吸引
attractive	吸引人的
attracts	吸引
audience	听众
audiences	听众
august	八月
aunt	阿姨
aunts	阿姨
australia	澳洲
australian	澳大利亚人
australians	澳大利亚人
authentic	可靠的
authentics	可靠的
author	作家
authored	作家
authoring	作家
authorities	权力
authority	权力
authors	作家
automatic	自动手枪
automatically	自动地
automatics	自动手枪
autonomous	自治的
autumn	秋天
available	可利用的
avenue	大街
avenues	大街
average	平均
averaged	平均
averages	平均
averaging	平均
avoid	避免
avoided	避免
avoiding	避免
avoids	避免
awake	醒着的
awakes	醒着的
awaking	醒着的
award	奖品
awarded	奖品
awarding	奖品
awards	奖品
aware	知道的
awareness	意识
awarenesses	意识
away	离去
awesome	引起敬畏的
awful	可怕的
awfully	恶劣地
awkward	笨拙的
awkwardly	笨拙地
awoke	醒着的
awoken	醒着的
aye	赞成票
ayes	赞成票
babied	婴孩
babies	婴孩
baby	婴孩
babying	婴孩
bachelor	单身汉
bachelors	单身汉
back	后面的
backache	背痛
backed	后面的
background	背景
backgrounds	背景
backing	后面的
backs	后面的
backward	向后地
backwards	向后
bacon	熏猪肉
bacons	熏猪肉
bacteria	pl.细菌
bacterium	细菌
bad	坏的
bade	出价
badly	严重地
badminton	羽毛球运动
bag	袋子
baggage	行李
baggages	行李
bagged	袋子
bagging	袋子
bags	袋子
bake	烘焙
baked	烘焙
bakeries	面包店
bakery	面包店
bakes	烘焙
baking	烘焙
balance	平衡
balanced	平衡
balances	平衡
balancing	平衡
balconied	阳台
balconies	阳台
balcony	阳台
ball	球
balled	球
ballet	芭蕾舞
ballets	芭蕾舞
balling	球
balloon	气球
ballooned	气球
ballooning	气球
balloons	气球
ballpoint	圆珠笔
ballpoints	圆珠笔
balls	球
bamboo	竹子
bamboos	竹子
ban	禁令
banana	香蕉
bananas	香蕉
band	带子
bandage	绷带
bandaged	绷带
bandages	绷带
bandaging	绷带
banded	带子
banding	带子
bands	带子
bang	重击
banged	重击
banging	重击
bangs	重击
bank	银行
banked	银行
banking	银行
banks	银行
banned	禁令
banning	禁令
bans	禁令
bar	条
barbecue	烤肉
barbecued	烤肉
barbecues	烤肉
barbecuing	烤肉
barber	理发师
barbered	理发师
barbering	理发师
barbers	理发师
barbershop	理发店
bare	赤裸的
bared	赤裸的
barely	几乎不
barer	赤裸的
bares	赤裸的
barest	赤裸的
bargain	交易
bargained	交易
bargaining	交易
bargains	交易
baring	赤裸的
bark	树皮
barked	树皮
barking	树皮
barks	树皮
barred	条
barrier	障碍
barriers	障碍
barring	条
bars	条
base	底部
baseball	棒球
based	底部
basement	地下室
basements	地下室
baser	底部
bases	底部
basic	基本原理
basically	基本上
basics	基本原理
basin	盆
basing	底部
basins	盆
basis	基础
basket	篮
basketball	篮球
basketballs	篮球
baskets	篮
bat	蝙蝠
bath	沐浴
bathe	沐浴
bathed	沐浴
bathes	沐浴
bathing	沐浴
bathrobe	浴衣
bathrobes	浴衣
bathroom	浴室
bathrooms	浴室
baths	沐浴
bathtub	浴缸
bathtubs	浴缸
bats	蝙蝠
batted	蝙蝠
batteries	电池
battery	电池
batting	蝙蝠
battle	战役
battled	战役
battleground	战场
battlegrounds	战场
battles	战役
battling	战役
bay	海湾
bayed	海湾
baying	海湾
bays	海湾
bbc	英国广播公司
be	是
beach	海滩
beached	海滩
beaches	海滩
beaching	海滩
beak	鸟嘴
beaked	鸟嘴
beaking	鸟嘴
beaks	鸟嘴
beam	横梁
beamed	横梁
beaming	横梁
beams	横梁
bean	豆子
beancurd	豆腐
beans	豆子
bear	熊
beard	胡须
bearded	胡须
bearding	胡须
beards	胡须
bearing	熊
bears	熊
beast	畜生
beasts	畜生
beat	心跳
beaten	心跳
beating	心跳
beats	心跳
beauties	美
beautiful	美丽的
beautifully	美好地
beauty	美
became	变成
because	因为
become	变成
becomes	变成
becoming	变成
bed	床
bedclothes	铺盖
bedded	床
bedding	床
beddings	寝具
bedroom	卧室
bedrooms	卧室
beds	床
bee	蜜蜂
beef	牛肉
beefed	牛肉
beefing	牛肉
beefs	牛肉
beehive	蜂窝
beehives	蜂窝
been	是
beer	啤酒
beers	啤酒
bees	蜜蜂
before	在...之前
beg	乞求
began	开始
begged	乞求
begging	乞求
begin	开始
beginning	开始
beginnings	开始
begins	开始
begs	乞求
begun	开始
behalf	利益
behave	举止端正
behaved	举止端正
behaves	举止端正
behaving	举止端正
behavior	行为
behaviors	行为
behaviour	行为
behaviours	行为
behind	在后地
being	存在
beings	存在
belfast	贝尔法斯特
belgium	比利时
belief	信念
beliefs	信念
believe	相信
believed	相信
believes	相信
believing	相信
bell	铃
belled	铃
bellied	腹部
bellies	腹部
belling	铃
bells	铃
belly	腹部
bellying	腹部
bellys	腹部
belong	属于
belonged	属于
belonging	属于
belongs	属于
below	在下面
belt	带子
belted	带子
belting	带子
belts	带子
ben	内室
bench	长椅子
benched	长椅子
benches	长椅子
benching	长椅子
bend	变弯曲
bending	变弯曲
bends	变弯曲
beneath	在...下方
beneficial	有益的
benefit	利益
benefited	利益
benefiting	利益
benefits	利益
benefitted	利益
benefitting	利益
bent	弯曲的
bents	弯曲的
beside	在旁边
besides	除...之外
best	最好的
bested	最好的
besting	最好的
bests	最好的
bet	打赌
betray	出卖
betrayed	出卖
betraying	出卖
betrays	出卖
bets	打赌
betted	打赌
better	较好的
bettered	较好的
bettering	较好的
betters	较好的
betting	打赌
bettings	打赌
between	在...之间
beyond	超过
bicycle	自行车
bicycled	自行车
bicycles	自行车
bicycling	自行车
bid	出价
bidden	出价
bidding	出价
bids	出价
big	大的
bigger	大的
biggest	大的
bike	自行车
biked	自行车
bikes	自行车
biking	自行车
bill	帐单
billed	帐单
billing	帐单
billion	十亿
bills	帐单
bin	二进制
bind	绑
binding	绑
binds	绑
bingo	宾戈
binned	二进制
binning	二进制
bins	二进制
biochemistries	生物化学
biochemistry	生物化学
biographies	传记
biography	传记
biological	生物学的
biologicals	生物学的
biology	生物学
bird	鸟
birdcage	鸟笼
birdcages	鸟笼
birded	鸟
birding	鸟
birds	鸟
birmingham	伯明翰
birth	出生
birthday	生日
birthdays	生日
birthed	出生
birthing	出生
birthplace	诞生地
birthplaces	诞生地
births	出生
biscuit	饼干
biscuits	饼干
bishop	主教
bishops	主教
bit	少量
bite	咬
bited	咬
bites	咬
biting	咬
bits	少量
bitter	苦的
bittered	苦的
bittering	苦的
bitterly	怨恨地
bitters	苦的
black	黑色
blackboard	黑板
blackboards	黑板
blacked	黑色
blacker	黑色
blackest	黑色
blacking	黑色
blacks	黑色
blade	叶片
bladed	叶片
blades	叶片
blame	过失
blamed	过失
blames	过失
blaming	过失
blank	空格
blanked	空格
blanker	空格
blanket	毛毯
blanketed	毛毯
blanketing	毛毯
blankets	毛毯
blanking	空格
blankly	茫然地
blanks	空格
bled	流血
bleed	流血
bleeding	流血
bleeds	流血
bless	祝福
blessed	祝福
blesses	祝福
blessing	祝福
blew	吹
blind	蒙蔽物
blinded	蒙蔽物
blinder	蒙蔽物
blinding	蒙蔽物
blinds	蒙蔽物
block	街区
blocked	街区
blocking	街区
blocks	街区
blonde	肤色白皙的金发女人
blondes	肤色白皙的金发女人
blood	血
blooded	血
bloodied	血腥的
bloodies	血腥的
bloodiest	血腥的
blooding	血
bloods	血
bloody	血腥的
bloodying	血腥的
blouse	宽松的上衣
bloused	宽松的上衣
blouses	宽松的上衣
blousing	宽松的上衣
blow	吹
blowed	吹
blowing	吹
blown	吹
blows	吹
blue	蓝色
blued	蓝色
blues	蓝色
bluing	蓝色
board	木板
boarded	木板
boarding	木板
boards	木板
boat	船
boated	船
boating	划船
boats	船
bob	剪短
bobbed	剪短
bobbing	剪短
bobs	剪短
bodied	身体
bodies	身体
body	身体
bodying	身体
boil	煮沸
boiled	煮沸
boiling	煮沸
boils	煮沸
bomb	炸弹
bombed	炸弹
bombing	炸弹
bombs	炸弹
bond	捆绑物
bonded	捆绑物
bonding	捆绑物
bonds	捆绑物
bone	骨头
boned	骨头
bones	骨头
boning	骨头
bonus	奖金
bonuses	奖金
book	书
bookcase	书架
bookcases	书架
booked	书
booking	书
bookmark	书签
bookmarks	书签
books	书
bookshelf	书架
bookshop	书店
bookshops	书店
bookstore	书店
bookstores	书店
boom	繁荣
boomed	繁荣
booming	繁荣
booms	繁荣
boot	长靴
booted	长靴
booth	亭
booths	亭
booting	长靴
boots	长靴
border	边缘
bordered	边缘
bordering	边缘
borders	边缘
bore	令人讨厌的人
bored	无聊的
bores	令人讨厌的人
boring	烦人的
borings	烦人的
born	天生的
borne	熊
borning	天生的
borrow	借
borrowed	借
borrowing	借
borrows	借
boss	老板
bossed	老板
bosses	老板
bossing	老板
botanical	植物学的
botanicals	植物学的
botany	植物学
both	两者的
bother	烦扰
bothered	烦扰
bothering	烦扰
bothers	烦扰
bottle	瓶子
bottled	瓶子
bottles	瓶子
bottling	瓶子
bottom	底部
bottomed	底部
bottoming	底部
bottoms	底部
bought	买
bounce	跳
bounced	跳
bounces	跳
bouncing	跳
bound	跃
boundaries	边界
boundary	边界
bounded	跃
bounding	跃
bounds	跃
bow	弓
bowed	弓
bowing	弓
bowl	碗
bowled	碗
bowling	保龄球戏
bowls	碗
bows	弓
box	盒子
boxed	盒子
boxes	盒子
boxing	拳击
boy	男孩
boycott	联合抵制
boycotted	联合抵制
boycotting	联合抵制
boycotts	联合抵制
boyfriend	男朋友
boyfriends	男朋友
boys	男孩
brain	脑
brained	脑
braining	脑
brains	脑
brake	刹车
braked	刹车
brakes	刹车
braking	刹车
branch	树枝
branched	树枝
branches	树枝
branching	树枝
brand	商标
branded	商标
branding	商标
brands	商标
brave	勇敢的
braved	勇敢的
braver	勇敢的
bravery	勇敢
braves	勇敢的
bravest	勇敢的
braving	勇敢的
breach	裂口
breached	裂口
breaches	裂口
breaching	裂口
bread	面包
breaded	面包
breading	面包
breads	面包
break	休息
breakfast	早餐
breakfasted	早餐
breakfasting	早餐
breakfasts	早餐
breaking	休息
breaks	休息
breakthrough	突破
breakthroughs	突破
breast	胸部
breasted	胸部
breasting	胸部
breasts	胸部
breath	呼吸
breathe	呼吸
breathed	呼吸
breathes	呼吸
breathing	呼吸
breathings	呼吸
breathless	喘不过气来的
breaths	呼吸
bred	种类
breed	种类
breeding	种类
breeds	种类
brethren	兄弟
breweries	啤酒厂
brewery	啤酒厂
brian	布莱恩
brick	砖块
bricked	砖块
bricking	砖块
bricks	砖块
bride	新娘
bridegroom	新郎
bridegrooms	新郎
brides	新娘
bridge	桥
bridged	桥
bridges	桥
bridging	桥
brief	摘要
briefed	摘要
briefer	摘要
briefest	摘要
briefing	摘要
briefly	简短地
briefs	摘要
bright	明亮的
brighter	明亮的
brightest	明亮的
brightly	生辉地
brilliant	光辉的
brilliants	光辉的
bring	带来
bringing	带来
brings	带来
britain	英国
british	英国的
broad	宽广的
broadcast	广播
broadcasted	广播
broadcasting	广播
broadcasts	广播
broader	宽广的
broadest	宽广的
broadly	宽广地
broads	宽广的
brochure	小册子
brochures	小册子
broke	休息
broken	坏掉的
broom	扫帚
brooms	扫帚
brother	兄弟
brotherhood	手足情谊
brotherhoods	手足情谊
brothers	兄弟
brought	带来
brown	褐色
browned	褐色
browner	褐色
browning	褐色
browns	褐色
brunch	早午餐
brunches	早午餐
brush	刷子
brushed	刷子
brushes	刷子
brushing	刷子
bubble	泡沫
bubbled	泡沫
bubbles	泡沫
bubbling	泡沫
buck	元
bucked	元
bucket	桶
bucketed	桶
bucketing	桶
buckets	桶
bucking	元
bucks	元
buddhism	佛教
buddhist	佛教徒
buddhists	佛教徒
budget	预算
budgeted	预算
budgeting	预算
budgets	预算
buffet	自助餐
buffeted	自助餐
buffeting	自助餐
buffets	自助餐
buffetted	自助餐
build	建立
building	建筑物
buildings	建筑物
builds	建立
built	建立
bullet	子弹
bullets	子弹
bun	小面包
bunch	串
bunched	串
bunches	串
bunching	串
bungalow	平房
bungalows	平房
bunned	小面包
bunning	小面包
buns	小面包
burden	负担
burdened	负担
burdening	负担
burdens	负担
bureaucratic	官僚的
burglar	窃贼
burglars	窃贼
burial	埋葬
burials	埋葬
buried	埋葬
buries	埋葬
burn	烧
burned	烧
burning	烧
burns	烧
burnt	burn的过去式和过去分词
burst	破裂
bursting	破裂
bursts	破裂
bury	埋葬
burying	埋葬
bus	公共汽车
buses	公共汽车
bush	矮树丛
bushed	矮树丛
bushes	矮树丛
bushing	矮树丛
busied	忙碌的
busier	忙碌的
busies	忙碌的
busiest	忙碌的
business	生意
businesses	生意
businessman	商人
businessmen	商人
businesswoman	商人
businesswomen	商人
bussed	公共汽车
busses	公共汽车
bussing	公共汽车
busy	忙碌的
busying	忙碌的
but	除了
butcher	屠夫
butchered	屠夫
butchering	屠夫
butchers	屠夫
butter	奶油
buttered	奶油
butterflied	蝴蝶
butterflies	蝴蝶
butterfly	蝴蝶
butterflying	蝴蝶
buttering	奶油
butters	奶油
button	钮扣
buttoned	钮扣
buttoning	钮扣
buttons	钮扣
buy	买
buyer	买主
buyers	买主
buying	买
buys	买
by	被
bye	再会
byes	再会
c	调用
cab	出租车
cabbage	卷心菜
cabbaged	卷心菜
cabbages	卷心菜
cabbaging	卷心菜
cabbed	出租车
cabbing	出租车
cabinet	橱柜
cabinets	橱柜
cable	电缆
cabled	电缆
cables	电缆
cabling	电缆
cabs	出租车
cafeteria	自助餐厅
cafeterias	自助餐厅
cage	笼
caged	笼
cages	笼
caging	笼
cake	蛋糕
caked	蛋糕
cakes	蛋糕
caking	蛋糕
calculate	计算
calculated	计算
calculates	计算
calculating	计算
calculation	计算
calculations	计算
call	呼叫
called	呼叫
calling	呼叫
calls	呼叫
calm	平稳
calmed	平稳
calmer	平稳
calming	平稳
calmly	平静地
calms	平稳
cambridge	剑桥
came	过来
camel	骆驼
camels	骆驼
camera	照相机
cameras	照相机
camp	露营
campaign	战役
campaigned	战役
campaigning	战役
campaigns	战役
camped	露营
camper	露营
camping	野营
camps	露营
campus	校园
can	装罐
canada	加拿大
canadian	加拿大的
canadians	加拿大的
canal	运河
canalled	运河
canalling	运河
canals	运河
cance	坎斯
cancel	取消
cancelled	取消
cancelling	取消
cancels	取消
cancer	癌
cancers	癌
candidate	候选人
candidates	候选人
candied	糖果
candies	糖果
candle	蜡烛
candled	蜡烛
candles	蜡烛
candling	蜡烛
candy	糖果
candying	糖果
cannot	无法
cans	装罐
canteen	水壶
canteens	水壶
cap	盖子
capable	有能力的
capacities	容量
capacity	容量
capital	首都
capitals	首都
capped	盖子
capping	盖子
caps	盖子
capsule	胶囊
capsuled	胶囊
capsules	胶囊
capsuling	胶囊
captain	船长
captained	船长
captaining	船长
captains	船长
caption	说明
captioned	说明
captioning	说明
captions	说明
capture	抓取
captured	抓取
captures	抓取
capturing	抓取
car	汽车
carbon	碳
carbons	碳
card	卡片
cardboard	薄纸板
cardboards	薄纸板
carded	卡片
carding	卡片
cards	卡片
care	小心
cared	小心
career	事业
careered	事业
careering	事业
careers	事业
careful	小心的
carefully	小心地
careless	粗心的
carelessly	不注意地
cares	小心
caring	小心
carpenter	木匠
carpentered	木匠
carpentering	木匠
carpenters	木匠
carpet	地毯
carpeted	地毯
carpeting	地毯
carpets	地毯
carriage	马车
carriages	马车
carried	进位
carrier	运送者
carriers	运送者
carries	进位
carrot	胡萝卜
carrots	胡萝卜
carry	进位
carrying	进位
cars	汽车
cartoon	卡通画
cartooned	卡通画
cartooning	卡通画
cartoons	卡通画
carve	雕刻
carved	雕刻
carven	雕刻
carves	雕刻
carving	雕刻
case	情形
cased	情形
cases	情形
cash	现金
cashed	现金
cashes	现金
cashing	现金
casing	情形
cast	演员阵容
casting	演员阵容
castle	城堡
castled	城堡
castles	城堡
castling	城堡
casts	演员阵容
casual	偶然的
casuals	偶然的
cat	猫
catalogue	目录
catalogued	目录
catalogues	目录
cataloguing	目录
catastrophe	大灾难
catastrophes	大灾难
catch	捕捉
catches	捕捉
catching	捕捉
categories	种类
category	种类
cater	提供饮食及服务
